model,quant,type,size_gib,pp512_tok_s,pp512_stddev,tg128_tok_s,tg128_stddev,status
Gemma 4 12B,Q4_K_XL,Dense,6.86,1511.79,3.94,49.04,0.26,Current standardized baseline
Gemma 4 26B-A4B,Q4_K_M,MoE,15.78,772.25,86.10,66.89,8.71,Current standardized baseline
Gemma 4 31B,Q4_K_XL,Dense,17.52,427.72,16.36,22.62,0.07,Current standardized baseline
Gemma 4 E2B,Q4_K_XL,MoE,2.97,5315.26,96.11,136.58,0.12,Current standardized baseline
Gemma 4 E4B,Q4_K_XL,MoE,4.77,3165.46,64.46,88.48,0.39,Current standardized baseline
Muse-Glimmer 30B,Q5_K_XL,Dense,20.28,569.33,77.41,22.00,0.02,Current standardized baseline
Qwen 3.5 0.8B,Q8_K_XL,Dense,0.80,14262.06,1417.45,202.79,0.35,Current standardized baseline
Qwen 3.6 35B-A3B,Q5_K_S,MoE,23.77,724.90,68.10,72.77,3.28,Fastest tested quant
Qwen 3.6 35B-A3B,Q5_K_XL,MoE,20.61,724.97,68.36,75.63,1.19,Selected production worker quant
Qwen 3.6 35B-A3B,Q4_K_M,MoE,20.61,706.68,97.73,77.52,1.98,Current standardized baseline
Qwen 3.8 27B,Q6_K,Dense,21.30,485.92,80.05,19.92,0.03,Current standardized baseline
Kanana 2 30B-A3B,Q4_K_M,MoE,17.00,593.42,37.51,28.18,0.08,Current standardized baseline
