model,mode,samples,avg_prompt_tps,avg_decode_tps,avg_latency_s,draft_tokens,accepted_tokens,accept_rate,decode_speedup_vs_baseline,latency_speedup_vs_baseline
/home/joey/Projects/Models/gguf/gemma4/gemma-4-12b-it-UD-Q4_K_XL.gguf,baseline,12,458.609,47.863,5.732,0,0,,1.000x,1.000x
/home/joey/Projects/Models/gguf/gemma4/gemma-4-12b-it-UD-Q4_K_XL.gguf,mtp-n2,12,413.084,71.555,3.991,2414,1843,76.35%,1.495x,1.436x
/home/joey/Projects/Models/gguf/gemma4/gemma-4-12b-it-UD-Q4_K_XL.gguf,mtp-n4,12,413.383,67.979,4.207,3496,2175,62.21%,1.420x,1.362x
/home/joey/Projects/Models/gguf/gemma4/gemma-4-12b-it-UD-Q4_K_XL.gguf,mtp-n8,12,411.713,26.993,10.008,5274,2385,45.22%,0.564x,0.573x
/home/joey/Projects/Models/gguf/gemma4/gemma-4-26B-A4B-it-UD-Q4_K_M.gguf,baseline,12,518.143,75.318,3.705,0,0,,1.000x,1.000x
/home/joey/Projects/Models/gguf/gemma4/gemma-4-26B-A4B-it-UD-Q4_K_M.gguf,mtp-n2,12,516.262,85.351,3.308,2462,1821,73.96%,1.133x,1.120x
/home/joey/Projects/Models/gguf/gemma4/gemma-4-26B-A4B-it-UD-Q4_K_M.gguf,mtp-n4,12,500.451,93.331,3.078,3443,2190,63.61%,1.239x,1.204x
/home/joey/Projects/Models/gguf/gemma4/gemma-4-26B-A4B-it-UD-Q4_K_M.gguf,mtp-n8,12,498.943,47.250,5.833,5525,2358,42.68%,0.627x,0.635x
/home/joey/Projects/Models/gguf/gemma4/gemma-4-31B-it-UD-Q4_K_XL.gguf,baseline,12,183.468,22.100,12.556,0,0,,1.000x,1.000x
/home/joey/Projects/Models/gguf/gemma4/gemma-4-31B-it-UD-Q4_K_XL.gguf,mtp-n2,12,163.859,33.060,8.792,2322,1891,81.44%,1.496x,1.428x
/home/joey/Projects/Models/gguf/gemma4/gemma-4-31B-it-UD-Q4_K_XL.gguf,mtp-n4,12,163.663,31.223,9.271,3329,2220,66.69%,1.413x,1.354x
/home/joey/Projects/Models/gguf/gemma4/gemma-4-31B-it-UD-Q4_K_XL.gguf,mtp-n8,12,163.716,11.486,23.512,5094,2413,47.37%,0.520x,0.534x
/home/joey/Projects/Models/gguf/gemma4/gemma-4-E2B-it-UD-Q4_K_XL.gguf,baseline,12,1745.749,130.407,2.042,0,0,,1.000x,1.000x
/home/joey/Projects/Models/gguf/gemma4/gemma-4-E4B-it-UD-Q4_K_XL.gguf,baseline,12,973.743,85.026,3.157,0,0,,1.000x,1.000x
/home/joey/Projects/Models/gguf/muse-glimmer-30b/Muse-Glimmer-30B-UD-Q5_K_XL.gguf,baseline,12,98.766,22.247,11.805,0,0,,1.000x,1.000x
/home/joey/Projects/Models/gguf/qwen3.5-0.8b/Qwen3.5-0.8B-UD-Q8_K_XL.gguf,baseline,12,3256.229,191.470,1.429,0,0,,1.000x,1.000x
/home/joey/Projects/Models/gguf/qwen3.6-35b-a3b-mtp/Qwen3.6-35B-A3B-UD-Q5_K_S.gguf,baseline,12,270.751,77.153,3.915,0,0,,1.000x,1.000x
/home/joey/Projects/Models/gguf/qwen3.6-35b-a3b-mtp/Qwen3.6-35B-A3B-UD-Q5_K_S.gguf,mtp-n2,12,264.176,65.312,4.533,2331,1888,81.00%,0.847x,0.864x
/home/joey/Projects/Models/gguf/qwen3.6-35b-a3b-mtp/Qwen3.6-35B-A3B-UD-Q5_K_S.gguf,mtp-n4,12,267.510,65.379,4.524,3502,2177,62.16%,0.847x,0.865x
/home/joey/Projects/Models/gguf/qwen3.6-35b-a3b-mtp/Qwen3.6-35B-A3B-UD-Q5_K_S.gguf,mtp-n8,12,260.944,37.101,7.557,5734,2326,40.57%,0.481x,0.518x
/home/joey/Projects/Models/gguf/qwen3.6-35b-a3b/Qwen3.6-35B-A3B-UD-Q5_K_XL.gguf,baseline,12,269.579,75.869,3.973,0,0,,1.000x,1.000x
/home/joey/Projects/Models/gguf/qwen3.6/Qwen3.6-35B-A3B-UD-Q4_K_M.gguf,baseline,12,273.914,78.708,3.858,0,0,,1.000x,1.000x
/home/joey/Projects/Models/gguf/Qwen3.8-27B-Q6_K.gguf,baseline,12,172.011,19.870,13.984,0,0,,1.000x,1.000x
/home/joey/Projects/Models/gguf/Qwen3.8-27B-Q6_K.gguf,mtp-n2,12,148.346,33.196,8.980,2526,1786,70.70%,1.671x,1.557x
/home/joey/Projects/Models/gguf/Qwen3.8-27B-Q6_K.gguf,mtp-n4,12,148.784,30.759,9.701,4005,2044,51.04%,1.548x,1.441x
/home/joey/Projects/Models/gguf/Qwen3.8-27B-Q6_K.gguf,mtp-n8,12,147.417,8.831,31.740,6681,2199,32.91%,0.444x,0.441x
/home/joey/Projects/Models/kanana-2-30b/kanana-2-30b-a3b-instruct-2601-Q4_K_M.gguf,baseline,12,163.084,28.149,9.288,0,0,,1.000x,1.000x
